"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.2R.3299.0_CDS_at",-0.0598528200613164,3.15496762611111,-1.0212249379059,0.320131871246153,0.997469446747738,-4.87335228285142
"Ag.2L.1254.2_at",-0.0855084329826485,3.1264686989443,-1.02108233981624,0.320197662088532,0.997469446747738,-4.87345799578756
"Pf.6.24.0_CDS_at",0.13353938151632,9.32907172530398,1.02107554125887,0.320200798994937,0.997469446747738,-4.8734630354759
"Ag.3L.1800.0_CDS_at",0.0701725023046167,2.93564247461887,1.02099966508274,0.320235810317895,0.997469446747738,-4.87351927959531
"Ag.2R.1250.0_CDS_at",0.0869801456607706,3.09267277119313,1.02099311813269,0.320238831384834,0.997469446747738,-4.87352413243037
"Ag.2R.3611.0_CDS_at",0.0480257055271298,3.26696900151217,1.02060367894038,0.320418572972633,0.997469446747738,-4.8738127502943
"Ag.2R.1495.0_CDS_at",0.0484331921888811,2.86094642406178,1.02059891691643,0.32042077127628,0.997469446747738,-4.87381627889478
"Pf.7.20.0_CDS_at",-0.219819161859333,3.80631233444088,-1.02051347388789,0.320460216342296,0.997469446747738,-4.87387958869199
"Ag.2R.1225.0_CDS_at",-0.0617038063244494,3.00704609113985,-1.02049748243229,0.320467599233721,0.997469446747738,-4.87389143719792
"Ag.3R.2483.0_CDS_at",-0.0795935683635276,3.63957233388928,-1.02047397843227,0.320478450714304,0.997469446747738,-4.87390885166115
"Ag.2R.1493.0_UTR_at",-0.0536583341644505,3.08828988873482,-1.02041854563842,0.320504044318063,0.997469446747738,-4.87394992126668
"Ag.3R.1155.0_CDS_at",-0.0541590376467319,2.87306093779634,-1.02030935694096,0.32055446152237,0.997469446747738,-4.87403081243399
"Ag.2R.539.0_CDS_at",0.0629976617583961,3.30907922236923,1.02010741806481,0.320647720317045,0.997469446747738,-4.87418039672605
"Ag.3R.1625.0_CDS_at",0.0608045070292367,3.07582373431406,1.02010510458038,0.320648788834445,0.997469446747738,-4.87418211026892
"Ag.3L.1703.0_CDS_at",-0.0466001969255954,2.98198210462169,-1.02004300591714,0.320677470971525,0.997469446747738,-4.87422810401307
"Pf.14.486.0_CDS_at",-0.0938336508025985,8.85863186298353,-1.02001427510411,0.320690741775962,0.997469446747738,-4.87424938283982
"Pf.12.315.0_CDS_at",-0.0668588076114696,3.66566291292737,-1.01988637897361,0.320749821894595,0.997469446747738,-4.87434409991523
"Ag.2R.3183.0_CDS_at",-0.08120222207438,3.50687590417377,-1.01976810546784,0.320804463799512,0.997469446747738,-4.87443168152759
"Ag.3R.333.0_CDS_at",-0.0665431715578906,3.60381980032412,-1.01963963899193,0.320863822269729,0.997469446747738,-4.87452680107081
"Ag.UNKN.1474.0_CDS_at",-0.049383492233518,2.900757576061,-1.01960702066789,0.320878894937522,0.997469446747738,-4.87455095077782
"Ag.2R.1197.0_CDS_s_at",0.0589192544202188,3.21514708821258,1.01959614873576,0.320883918881953,0.997469446747738,-4.87455899990762
"Ag.UNKN.1386.0_CDS_at",-0.0756797159661196,4.30383987437335,-1.01956050215922,0.32090039163546,0.997469446747738,-4.87458539063989
"Ag.2L.421.0_UTR_a_at",-0.0522376653298845,2.86941781011117,-1.01955445848656,0.320903184555604,0.997469446747738,-4.87458986495797
"Ag.3L.692.2_CDS_a_at",-0.0565511661106156,2.92936362946199,-1.01943635424783,0.320957766688088,0.997469446747738,-4.87467729657171
"Ag.3L.943.0_CDS_at",0.0816383048938101,3.73228269078845,1.01940802166263,0.320970861629836,0.997469446747738,-4.87469826965043
"AF221811.1_RC_x_at",0.0882270521771967,3.22770645213415,1.01940284588721,0.320973253844752,0.997469446747738,-4.87470210094215
"Pf.1.131.0_CDS_at",0.202769056134024,3.38810398695831,1.0193848979615,0.320981549374822,0.997469446747738,-4.87471538649997
"AF306413.1_s_at",-0.0584183087216029,2.72875114532795,-1.01921604112845,0.321059602408238,0.997469446747738,-4.87484036913832
"Ag.X.551.0_CDS_at",-0.0676789536782096,3.38043335193376,-1.01920258414945,0.321065823390926,0.997469446747738,-4.87485032880873
"Ag.X.106.0_UTR_a_at",-0.0597767531201783,3.27102117354849,-1.01918054193477,0.321076013398042,0.997469446747738,-4.87486664226811
"Ag.2R.2584.0_CDS_at",-0.0663564077997045,3.17267598036549,-1.01912790589765,0.32110034770257,0.997469446747738,-4.87490559700137
"Ag.2R.4587.0_at",0.0645350249126632,2.67827933686131,1.01903682897353,0.321142456792036,0.997469446747738,-4.87497299684206
"Pf.6.39.0_CDS_at",-0.0563171343966649,12.0101777667654,-1.01900506226906,0.321157144931549,0.997469446747738,-4.87499650399289
"Ag.3L.1165.0_CDS_s_at",-0.0654634250905379,3.17904461969212,-1.01894142761254,0.321186569452382,0.997469446747738,-4.87504359130689
"Pf.7.80.0_CDS_a_at",-0.0706205148880934,9.23911628700168,-1.01891510239033,0.321198742732261,0.997469446747738,-4.87506307026149
"Ag.X.271.0_UTR_at",-0.0703103242281546,3.21799545602829,-1.01890874412016,0.321201682965321,0.997469446747738,-4.87506777490306
"Ag.3R.486.0_CDS_at",0.0569067909763689,2.93648102956445,1.01884422747032,0.321231518253516,0.997469446747738,-4.8751155109312
"Ag.UNKN.1597.0_CDS_at",-0.0753312644385478,3.29254349962456,-1.01874214944953,0.321278727542184,0.997469446747738,-4.87519103335902
"X00245.1_RC_x_at",-0.0705322232668564,3.93071371184699,-1.01853079261126,0.321376491938424,0.997469446747738,-4.87534738487725
"Pf.8.251.0_CDS_at",0.102227810496309,8.84531918871047,1.0185285149446,0.321377545601463,0.997469446747738,-4.87534906963123
"Ag.2R.2930.0_CDS_at",-0.0693768201724351,3.05782982865646,-1.01852765453859,0.321377943631377,0.997469446747738,-4.87534970605909
"AF275849.1_x_at",-0.0525348339135556,2.53698320114401,-1.01831442464025,0.321476596026366,0.997469446747738,-4.87550741426255
"Ag.2R.1248.2_CDS_a_at",0.0517315072875051,2.98624006740436,1.0181641670978,0.321546126636693,0.997469446747738,-4.87561852992614
"Ag.3L.1456.0_CDS_at",-0.042747671378573,2.78435337149855,-1.01788246969797,0.321676508721355,0.997469446747738,-4.87582680724777
"Ag.3L.566.0_CDS_at",-0.0563143918269915,2.94342554314125,-1.01782794791886,0.321701748136324,0.997469446747738,-4.87586711299643
"Pf.9.248.0_CDS_at",-0.045190010118231,2.7105159423138,-1.01779307329787,0.321717893152483,0.997469446747738,-4.87589289341337
"Ag.3R.800.0_CDS_at",0.0643949813319677,3.81787120646069,1.01769281458241,0.321764310565795,0.997469446747738,-4.87596700354464
"Ag.2L.1066.0_CDS_at",0.0540427159888111,2.78971004114474,1.01754315493682,0.321833608237066,0.997469446747738,-4.8760776185206
"Ag.3L.1053.0_CDS_at",-0.0601944495869824,3.12802412608477,-1.01745888858925,0.321872631150834,0.997469446747738,-4.87613989443448
"Ag.3L.1536.1_CDS_at",-0.07299271984232,2.98550580183365,-1.01740365933512,0.321898209085124,0.997469446747738,-4.87618070844822
"Pf.13_1.278.0_CDS_at",0.0585049929555329,2.87657186238927,1.01735202231724,0.321922124670207,0.997469446747738,-4.87621886608824
"Ag.2L.4091.0_at",0.0579368930760964,3.22778823327539,1.01729877849242,0.321946785758135,0.997469446747738,-4.87625820933444
"Ag.2R.2125.1_at",0.0438791556271817,2.92145376246722,1.01713648571098,0.322021963576251,0.997469446747738,-4.8763781206748
"Ag.2R.2433.0_CDS_at",0.0596747128154653,2.9322517745278,1.01709352603815,0.322041865576831,0.997469446747738,-4.87640985900157
"Ag.2L.1869.0_CDS_at",0.112153785115142,3.53101105998017,1.01707884234322,0.322048668316187,0.997469446747738,-4.87642070695331
"Pf.12.342.0_CDS_at",-0.0466548384292427,12.0097562216213,-1.01705042069943,0.322061835932824,0.997469446747738,-4.87644170377712
"Ag.2L.2385.0_CDS_at",-0.0494478724275556,2.90259557823785,-1.01701750657089,0.322077085371754,0.997469446747738,-4.87646601884115
"Ag.3L.215.0_CDS_a_at",0.0708456492590064,3.04709709685771,1.01700309628719,0.322083761958075,0.997469446747738,-4.87647666411472
"Ag.3R.177.0_CDS_at",0.0711788419270944,3.11870944743404,1.01688300144611,0.322139408213025,0.997469446747738,-4.87656537639537
"Ag.2R.310.0_UTR_at",-0.0499246489928358,3.1385947220277,-1.01686374364065,0.322148331998124,0.997469446747738,-4.87657960100593
"Pf.13_1.90.0_CDS_at",0.186960169771283,7.21573210898997,1.01663224679258,0.322255617901321,0.997469446747738,-4.87675057585795
