"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"Pf.10.30.0_CDS_at",4.3624861634126,3.51052532528031,3.12699646743535,3.42196333625924,2.86230984238327,3.77165915305582,7.70373943352665,8.12536914305856,7.76114947583591,7.54073545741671,7.73370188592598,8.15413282895189,9.16637132031273,8.82216291705933,9.2446271476514,8.61436769575135,8.88944547767395,8.42478423348938
"Pf.14.2.0_CDS_at",4.47189639112699,4.96789822264814,4.26534887401471,4.35594634040342,4.38491015285997,3.7439298425185,8.08963232711312,7.72563891268659,7.98493538335614,6.91293818034532,7.68185947085287,7.88190124165399,10.026931226721,9.58631864303461,9.69826677310113,9.34789229040783,9.55062143440126,9.44596226247446
"Pf.5.9.0_CDS_at",4.44742624803259,4.20978155084149,4.40727934011459,4.40643807110436,3.96513825981785,3.45946258866045,7.3293237194517,7.35356490271113,7.47605429264153,6.64824881745735,7.13898759770982,7.08669267590023,9.62074046852311,9.30017887548332,9.25635126591196,9.04055881099857,8.94830220750352,9.23628206686989
"Pf.12.198.0_CDS_at",3.85998551440398,3.68422520727458,3.48484379213592,3.70187602682587,4.01295784556373,4.17563683321613,6.86422206265937,6.1433192724581,7.06415989390649,6.2710638645354,4.8598802063106,6.33998194255292,9.33680548328578,8.09090890097709,8.92305174948504,8.45452422077057,8.67534901382313,9.15576758369244
"Pf.5.41.0_CDS_x_at",3.15936982599399,3.07764529150734,3.30141714981615,2.95886645710441,2.63850530157054,2.91608242659461,5.2989881129852,4.84669722958617,5.36349106138994,4.09984832907631,4.91835768354693,5.25554833925226,8.33867477833154,7.53672265922509,8.45527111968322,7.78037503474664,7.90960721918682,7.08338912196618
"X15063.1_RC_at",4.48185606283311,4.6265377640752,4.15812400298909,4.49807664432846,3.99599174221009,4.24020726115437,7.37843967172609,6.12495927572215,7.41958508200497,4.96131620236239,6.82084936026171,6.99355043044346,9.17250368428901,9.10279361400972,9.03789147441746,8.85710445138253,8.60217542686691,8.62756414592173
"Pf.12.35.0_CDS_at",3.68690410053725,3.39977780825889,3.60027142596208,3.2118004771717,3.45357612839328,3.69512068726821,5.71546856493141,4.67530406552731,5.78555125833076,3.94593941292356,5.35020889454364,5.25836495901917,8.28317093187158,7.6947107338248,7.35164025238814,7.88452062677329,7.43480077493879,7.84178982001006
"Pf.5.274.0_CDS_at",4.51187994760159,4.83608326214381,3.8288952298644,3.97885082310742,4.03663375964426,4.02728000063412,7.28543308293522,7.15537892895915,7.51438721667104,6.58439627967445,6.96062653275442,7.24379964293793,8.57035084096954,8.10540092147703,8.72409915508768,8.25066796067697,8.41445845537491,8.58241062576642
"AF286876.1_s_at",5.99248086496445,5.78313670078645,5.51257378016435,4.80904999182967,5.68198853265598,5.70440870273198,9.0904644726029,8.36339781593325,9.21704743344651,8.75319574731939,8.46199024040977,9.18589722814852,9.85493418639906,8.5211022205463,9.52337896980967,8.79148440404431,9.77636631459392,9.7736034503985
"Pf.9.23.0_CDS_at",4.73147922575054,5.28963345585939,5.25646023099564,4.77751894211909,4.80998136437108,5.19996010431491,7.70127468614083,7.74470296034825,7.69587446094858,7.23508977989639,7.72807620454295,7.4760729523667,9.3028911291314,9.23916622637701,9.20366796807785,9.2093266251812,8.66282827092879,8.82518769402915
