"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.3R.2820.0_at",-0.0557065911761532,3.81670339822567,-0.48861018813923,0.630778019105849,0.999185424164836,-5.07515493252209
"Ag.2R.226.0_CDS_at",0.0455821528387381,2.99681679643303,0.488499497491214,0.630854935954729,0.999185424164836,-5.07519283017961
"Ag.X.134.0_UTR_at",0.0714404988452029,3.4489402585465,0.488482892844642,0.630866474584392,0.999185424164836,-5.07519851447156
"AF465507.1_s_at",-0.205322438291677,4.34401280498783,-0.488384048462519,0.630935163921541,0.999185424164836,-5.07523234814207
"Ag.2L.41.0_CDS_at",-0.039417426882923,2.92749513357725,-0.48833209282144,0.630971270528309,0.999185424164836,-5.07525012950378
"Ag.2L.1536.0_CDS_s_at",-0.0702109538344646,3.57150926722785,-0.488315988639735,0.630982462333363,0.999185424164836,-5.07525564064722
"Pf.12.45.1_a_at",0.0478600655775097,2.93433242422784,0.488311785443707,0.630985383412745,0.999185424164836,-5.07525707902831
"Ag.UNKN.776.0_CDS_at",-0.0552177316133831,3.64742087848789,-0.488135782164455,0.631107705348603,0.999185424164836,-5.07531729859206
"Ag.3R.2599.0_CDS_at",0.0488486186368142,3.20473154430841,0.488078646269116,0.631147417034774,0.999185424164836,-5.07533684313983
"Ag.2R.5257.0_at",0.0385417552588985,2.67193171411385,0.488036995576938,0.63117636662383,0.999185424164836,-5.0753510892508
"Ag.3L.521.2_at",0.0450364074263039,2.84764888458718,0.487881541757107,0.631284421234314,0.999185424164836,-5.07540424995286
"Ag.3R.2319.1_a_at",0.0517588123007213,3.05653644286377,0.487787935525605,0.631349490230988,0.999185424164836,-5.07543625267382
"Ag.2R.395.0_UTR_a_at",-0.0428569347162107,2.96572979614675,-0.487658648209003,0.631439367491374,0.999185424164836,-5.07548044451876
"Ag.2L.1547.0_CDS_at",0.0534450985239436,3.20864181390932,0.487609369378614,0.631473626434739,0.999185424164836,-5.07549728559075
"Pf.6.131.0_CDS_at",0.0482845145456636,11.2347890803808,0.487604970384011,0.63147668468424,0.999185424164836,-5.07549878886999
"Pf.14.586.0_CDS_at",-0.0592281921713527,2.80282677009378,-0.487535184995968,0.631525201484563,0.999185424164836,-5.07552263504824
"Ag.2L.1557.0_CDS_at",-0.0468192266707366,3.05265817209962,-0.487510127725974,0.631542622435195,0.999185424164836,-5.07553119649579
"AF306415.1_s_at",0.0412755492719601,2.6780537605506,0.487425248299489,0.631601636107165,0.999185424164836,-5.07556019452872
"Ag.2L.2237.0_CDS_at",-0.0470085352040774,3.37409653486315,-0.487403620807448,0.631616673345681,0.999185424164836,-5.07556758252026
"Ag.2L.2715.1_a_at",-0.058731675696917,2.98290025854889,-0.487330640808839,0.631667416351872,0.999185424164836,-5.07559251028435
"Ag.3L.2087.0_CDS_at",-0.0484730423102362,3.0925232322187,-0.487302607392114,0.6316869084906,0.999185424164836,-5.07560208469369
"Ag.3L.2247.0_at",-0.0406777483448564,2.73515179536641,-0.487285767302833,0.631698617840646,0.999185424164836,-5.07560783592737
"Ag.2L.1837.0_CDS_at",-0.0562023566457728,3.38749388671445,-0.487239409655288,0.631730852029356,0.999185424164836,-5.07562366701615
"Ag.2R.241.0_CDS_at",0.041852595029003,3.01366766377426,0.487188841675058,0.631766014681866,0.999185424164836,-5.07564093426853
"Ag.2R.351.1_a_at",-0.0464846953698768,3.16124578074999,-0.48718353661195,0.631769703631486,0.999185424164836,-5.07564274566745
"Ag.2R.1418.0_CDS_at",0.0618343157812031,3.28707331144601,0.487124782327837,0.631810559905461,0.999185424164836,-5.07566280587781
"Ag.UNKN.697.0_CDS_s_at",-0.0468854325629775,3.18508566167779,-0.487116184662261,0.631816538611175,0.999185424164836,-5.07566574114381
"Ag.2L.2736.0_CDS_at",-0.0460968334206471,2.7151224908786,-0.487058203803107,0.631856858432587,0.999185424164836,-5.07568553465605
"Ag.3R.934.1_CDS_at",0.0403312430167131,2.95158703554998,0.48701718546451,0.631885383252419,0.999185424164836,-5.0756995361252
"Ag.2R.5309.0_at",-0.0491065958393389,2.83915277986939,-0.486795402120212,0.632039625262701,0.999185424164836,-5.07577522135977
"Ag.UNKN.1062.0_CDS_at",-0.057798737137186,3.07157735514449,-0.486794477330646,0.632040268455481,0.999185424164836,-5.07577553688138
"Ag.X.138.0_CDS_at",-0.0449838375631897,2.86119174888001,-0.486743663609733,0.632075609951184,0.999185424164836,-5.07579287272048
"Ag.UNKN.341.0_CDS_at",-0.0443850876148701,2.8465131714168,-0.486739077052988,0.632078799996036,0.999185424164836,-5.07579443740485
"Ag.3R.35.0_CDS_a_at",0.0470897250000868,3.22852111050671,0.486508775273746,0.632238989158624,0.999185424164836,-5.07587298554875
"Ag.2L.767.2_CDS_a_at",0.100282358402544,4.61271442340389,0.486488996658681,0.63225274728202,0.999185424164836,-5.07587972968898
"Ag.2R.719.0_CDS_s_at",-0.0458410227252295,3.22671555095943,-0.486484727107506,0.632255717225524,0.999185424164836,-5.07588118549181
"Ag.UNKN.2635.0_at",0.0474778508003961,2.75778737740827,0.486365223631862,0.632338847669605,0.999185424164836,-5.07592192797027
"Ag.UNKN.699.0_CDS_s_at",-0.0455936019973735,2.79194489148132,-0.48634605716005,0.632352180948805,0.999185424164836,-5.07592846152026
"Ag.UNKN.681.0_CDS_s_at",0.0481159024326145,3.17699916004052,0.486300053553421,0.63238418418072,0.999185424164836,-5.07594414241311
"Ag.3R.557.1_UTR_at",0.0408171587593165,2.65042715751161,0.486240102351452,0.632425891424485,0.999185424164836,-5.07596457536206
"Ag.3L.697.0_CDS_a_at",-0.0518289528544931,3.66632443097079,-0.48618623942406,0.632463364216166,0.999185424164836,-5.07598293118916
"Ag.2L.1764.0_CDS_at",0.0482037031909766,3.0185783445427,0.486127264153279,0.632504394869337,0.999185424164836,-5.07600302698517
"Ag.3L.335.0_CDS_at",0.0454001634497709,3.27979563518863,0.48611715168819,0.632511430501224,0.999185424164836,-5.07600647256617
"Ag.UNKN.855.0_CDS_at",0.0571937244553875,3.16437999695537,0.486082098013584,0.632535818972768,0.999185424164836,-5.07601841573216
"Ag.2R.3338.0_CDS_at",-0.0476141414309468,3.27789758799753,-0.485929885644939,0.632641725209412,0.999185424164836,-5.07607026647203
"Ag.3L.560.0_CDS_s_at",-0.0453719511584643,3.00820421871226,-0.485877421521318,0.632678230556393,0.999185424164836,-5.07608813459742
"Ag.UNKN.383.0_CDS_at",0.0472610580371833,3.09214113942766,0.485873200517176,0.632681167638299,0.999185424164836,-5.07608957209741
"Ag.2R.976.0_CDS_at",-0.0423117835079698,2.72445685158215,-0.485798641553489,0.632733048691985,0.999185424164836,-5.07611496181581
"Ag.2L.1115.0_CDS_a_at",0.0370492942056622,3.1007424734705,0.485752562547275,0.632765113250663,0.999185424164836,-5.07613065131127
"Pf.1.181.0_at",-0.0839473727187743,7.31570770615631,-0.485732939673931,0.632778768259088,0.999185424164836,-5.07613733228973
"Ag.2L.2583.0_CDS_at",0.0822008767977342,3.60327864467008,0.485684421016185,0.632812531616456,0.999185424164836,-5.07615385026411
"AF528148.1_at",0.0341712347662004,2.76907725879396,0.485657071958185,0.632831563752932,0.999185424164836,-5.07616316043344
"Ag.2L.954.0_CDS_at",0.0533263824553964,2.80134764601385,0.485605150898301,0.632867696203409,0.999185424164836,-5.0761808340114
"Ag.3L.186.0_CDS_a_at",-0.0537203524849637,3.15686490302852,-0.485580747007759,0.632884679473143,0.999185424164836,-5.07618914029954
"Ag.2R.4369.0_at",-0.0419262935433724,2.85030919355748,-0.485541215663284,0.632912190755645,0.999185424164836,-5.07620259462282
