"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.2L.509.0_CDS_at",0.0156896747869717,3.0093227171548,0.156056570506928,0.877654748807168,0.977854198862831,-7.14951101490807
"Ag.3R.892.0_UTR_a_at",0.0149630569028538,3.0523708858247,0.155972399330973,0.877720175922774,0.977854198862831,-7.14952474711281
"Ag.UNKN.2279.0_at",-0.0161976365839582,3.25599603961105,-0.155727265618937,0.877910726009096,0.977854198862831,-7.14956469764125
"Ag.3L.421.0_CDS_at",-0.00944062116477373,2.63030726711425,-0.155690894646887,0.877938998953178,0.977854198862831,-7.14957061984049
"Ag.2R.3721.0_at",0.0105128828377803,2.82838414948719,0.155568246423109,0.878034340686531,0.977854198862831,-7.14959058018918
"Pf.7.180.0_CDS_at",-0.0120367223961582,8.93269542038539,-0.155515642110826,0.878075233722653,0.977854198862831,-7.14959913645457
"Ag.2L.729.0_CDS_a_at",0.0132692389316673,2.86255138937977,0.15550709691004,0.878081876542172,0.977854198862831,-7.14960052608723
"Ag.3R.2627.0_at",0.0138569435509019,2.94528056508608,0.155498351418841,0.878088675071925,0.977854198862831,-7.14960194821255
"Pf.13_1.423.0_CDS_at",0.0169731937361435,2.95851134894218,0.155486320302289,0.878098027781907,0.977854198862831,-7.14960390449094
"Ag.2R.304.5_CDS_at",-0.0133297053661665,2.94880683896884,-0.155473267046352,0.878108175100073,0.977854198862831,-7.14960602680003
"Ag.2R.2345.0_CDS_a_at",0.0155825235084239,2.96506938785785,0.155389020346504,0.878173667179041,0.977854198862831,-7.1496197200683
"Ag.2R.2147.0_CDS_at",-0.0141381771747116,3.14283327130191,-0.155386415530995,0.878175692136629,0.977854198862831,-7.14962014333115
"Ag.3L.606.1_CDS_at",-0.0118016245568417,3.14185021469155,-0.155374415403232,0.878185020927362,0.977854198862831,-7.14962209316987
"Ag.3L.387.0_CDS_at",-0.013568614492756,2.87967368528788,-0.15530988886992,0.878235183584126,0.977854198862831,-7.14963257517748
"Ag.2L.746.0_CDS_at",-0.0144776544811487,3.15300254608975,-0.155283167153019,0.878255957089789,0.977854198862831,-7.14963691471307
"Pf.3.218.0_CDS_at",-0.0139053082724576,9.02066976659361,-0.155219095631019,0.878305766763292,0.977854198862831,-7.14964731672365
"Pf.14.223.0_CDS_at",-0.0164023260064705,3.07978694027237,-0.155165496034936,0.878347435884701,0.977854198862831,-7.14965601532797
"AFFX-HSAC07/X00351_5_at",0.0127830425545326,3.54132923875289,0.155153142037845,0.878357040117072,0.977854198862831,-7.14965801981615
"Ag.UNKN.1902.0_CDS_at",0.0166129530255097,3.35321690239384,0.155098048847855,0.878399870846828,0.977854198862831,-7.14966695698089
"Pf.12.493.0_CDS_at",-0.0174117355500893,4.29747340274421,-0.15507694150985,0.878416280285276,0.977854198862831,-7.14967038015433
