"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.9.55.0_CDS_at",6.27147768466815,6.10996902728917,8.76147783235205,8.29292857245201,9.64764301641278,9.53209422756901
"Pf.5.41.0_CDS_at",2.9958178112293,2.62871101372384,4.0174073899,3.67005846909226,6.40070953979052,6.01654262912012
"Pf.10.173.0_CDS_at",6.10377168772289,5.92459368142761,8.6134299558591,8.32648258271897,9.33103866698249,9.1508224872608
"Pf.9.6.2_CDS_s_at",3.9316861722605,3.94313108003895,5.91639330926567,5.58119879380745,6.83958224539286,7.29215084650212
"Pf.10.86.0_CDS_at",5.15991260797926,5.83152440142643,2.78392300118241,2.73442966158527,2.77009979992003,2.82803123838758
"M17530.1_RC_s_at",4.9641791401041,4.84893483218571,6.96621958421738,7.08666778650256,8.29476367120748,8.00614095184402
"Pf.9.329.0_CDS_at",4.04323241607901,4.14362926166302,4.89706805699923,5.00184691205077,7.46414221171312,7.12279931046571
"Pf.2.190.0_CDS_at",6.8114951394165,5.77788739774061,8.49815734432732,8.22133298749401,9.48342960488268,9.21626941832493
"Pf.12.270.0_CDS_at",4.94659983909818,4.67361894985596,6.66769994221873,6.406837329662,8.29262426171675,7.78479155323794
"AF352829.1_s_at",7.58422285302116,6.34995269689014,9.21700895904117,9.20981427918916,9.93132391292308,9.70084234719963
"Pf.13_1.261.0_CDS_at",4.42932857787109,3.98987456186965,5.01021372091911,4.78039707395499,7.3412895875882,6.95330772957601
"Pf.12.610.0_at",6.87675036561038,6.26562329803064,8.97985374087461,8.82819845720354,9.56535637076734,9.4452909209155
"Pf.2.3.0_CDS_at",8.963410273434,8.76150596246173,10.8315728398825,10.7654800959297,12.2729442687055,11.682948108553
"Pf.2.186.0_CDS_at",5.30959120978736,5.32296449627601,6.90635558858023,6.74182192544799,8.69935203583228,8.11681202982132
"Pf.13_1.443.0_CDS_at",7.6666309911555,7.55731310151752,5.95131106204009,5.93542182483133,4.23563104185142,5.51395277896006
"Pf.2.37.0_CDS_at",7.90849774850436,8.01030491775858,9.95895563005766,9.7894358351089,11.1829108082274,10.8481451129735
"Pf.4.157.0_CDS_at",5.65668866350016,5.24043217108536,7.50503608603836,7.4034172685378,8.29951797919464,8.20779140641645
"Pf.1.93.0_CDS_at",6.62458467514523,6.75207996502091,6.51655265454478,5.95319010712237,8.71821824352223,8.47864899545315
"Pf.11.473.0_CDS_at",5.8900476719408,5.77438412842119,7.42610625847036,7.41358418250478,8.77173987964264,8.58603784935349
"Pf.13_1.79.0_CDS_at",8.20932835711871,7.67909183086195,10.2201611819822,10.1226599352747,10.8355263622118,10.6165110331973
"Pf.14.478.0_CDS_at",3.72518316388549,3.63709841713633,4.7374393876314,4.52099864134823,6.57757915102647,6.21374704037603
"Pf.6.296.0_CDS_at",6.57181782305695,6.56205185111383,4.7669466351191,4.26833789424184,6.97462584835212,7.10275697815821
"Pf.11.32.0_CDS_at",4.81936555231469,4.50346242929465,6.15213092400027,6.11603515642861,7.72655956116185,7.41116320938583
"Pf.2.48.0_CDS_at",7.1871057551053,7.10918983037926,9.20233488310079,9.1838865641019,9.95242063477747,9.8891855508977
"M17530.1_s_at",9.08485097265576,9.04249114334591,10.7289073747485,10.6839163523685,12.1412563110323,11.7577036897632
"L40600.2_x_at",4.25891621607791,4.30151877118007,5.53199330276146,4.98597528489853,6.73577714967216,6.68636168147745
"Pf.11.27.0_CDS_at",4.7127410259669,4.57725443458697,5.05168778307061,5.02930225754122,7.57105979173194,6.90750969970403
"Pf.12.245.0_CDS_at",4.79682307705983,4.66709912962937,5.66106742083573,5.63882621984204,7.47680931657165,7.50749995048635
"Pf.9.6.0_CDS_s_at",8.07655394040353,7.78950411202362,10.0554396723521,9.86237038642915,10.518698941766,10.7015584822451
"AF441846.1_x_at",6.49120426811901,7.0267385719634,5.23638930496118,4.95350178977925,6.18108064171714,6.97395529970367
"Pf.13_1.418.0_CDS_a_at",2.48929774529374,2.40856344331763,2.90222287947861,2.79217109181998,5.53342190578372,4.31437317734822
"Pf.8.17.0_CDS_at",4.17548167102215,3.76633774479087,5.67886938316063,5.26690801443498,6.69674958478871,6.60692192086011
"Pf.4.224.0_CDS_x_at",4.53375894261139,4.53222858417306,5.27516744701089,4.95232980427567,7.09201149760206,6.86416883204099
"Pf.11.237.0_CDS_at",5.9409818654328,5.6257718818704,7.90484306643442,7.65261593239217,7.96947859806952,8.2748404729861
"AF275856.1_x_at",5.9765606968367,5.94989343890554,6.78479126606124,6.42798506520216,8.14401125914332,8.57722261130531
"Pf.14.707.0_CDS_at",6.41429461202409,6.40643427585691,4.81185074897501,4.67717366726224,3.66837696295473,4.21297396208284
