"ntree","mtry","maxnodes","nodesize","cv_r2","cv_rmse"
200,5,20,3,0.169983616450158,1.74019070390438
200,5,20,5,0.229211286402131,1.71626255153603
200,5,20,8,0.203378283550719,1.7216714577762
200,5,30,3,0.154227503291595,1.784468796291
200,5,30,5,0.17853605126587,1.75533995340941
200,5,30,8,0.187419992482053,1.72998301735674
200,5,50,3,0.209294999944004,1.71792682743746
200,5,50,5,0.163190535433336,1.75376578710504
200,5,50,8,0.192204749835666,1.70994995984751
200,5,70,3,0.207993960277006,1.72084404749587
200,5,70,5,0.214594568461174,1.70855193370559
200,5,70,8,0.211357655870577,1.69870836204389
200,10,20,3,0.19613531378141,1.73519252993231
200,10,20,5,0.185024467919714,1.72716849648496
200,10,20,8,0.184739107800926,1.73713969166029
200,10,30,3,0.202448614138067,1.7145738566761
200,10,30,5,0.220281584709664,1.72450991238421
200,10,30,8,0.192697484220894,1.73552385434391
200,10,50,3,0.164668482867745,1.74730064857084
200,10,50,5,0.185083700059422,1.74675947651607
200,10,50,8,0.211948389730681,1.72141307945852
200,10,70,3,0.206538175863503,1.73941923737614
200,10,70,5,0.216497404337507,1.72896851985225
200,10,70,8,0.224090206254765,1.72310240591611
200,15,20,3,0.229275969108506,1.71279756268361
200,15,20,5,0.225056570210013,1.6935089642298
200,15,20,8,0.186267409454423,1.75791047452009
200,15,30,3,0.219980793056666,1.71811278827461
200,15,30,5,0.203267281917578,1.70629213460579
200,15,30,8,0.165073665198097,1.77164993195584
200,15,50,3,0.245566783768997,1.66798408885798
200,15,50,5,0.214513737854071,1.72185572609849
200,15,50,8,0.190283049304405,1.73885245307278
200,15,70,3,0.205860298579354,1.71096752090949
200,15,70,5,0.183487467458979,1.75249957513067
200,15,70,8,0.182607102846405,1.76305292192146
200,25,20,3,0.186424667503789,1.75000285571117
200,25,20,5,0.225195390535797,1.71291165968279
200,25,20,8,0.173609909744759,1.77350411127537
200,25,30,3,0.2290303910887,1.70860849259076
200,25,30,5,0.213146269750413,1.73509037475048
200,25,30,8,0.251697481535689,1.73088858260625
200,25,50,3,0.209947855620001,1.72546149895154
200,25,50,5,0.27373552573788,1.69521030893795
200,25,50,8,0.225103324071517,1.72767625591376
200,25,70,3,0.212781355875547,1.70413470510494
200,25,70,5,0.210227556578137,1.71549044709784
200,25,70,8,0.172955097626699,1.74563781269138
200,50,20,3,0.219772621860215,1.72866780512438
200,50,20,5,0.256531777213453,1.72027510726621
200,50,20,8,0.129515001216016,1.80540660562965
200,50,30,3,0.24143111346394,1.73897555192665
200,50,30,5,0.209992428984079,1.72638516595548
200,50,30,8,0.113567212679137,1.82909038440155
200,50,50,3,0.2251601863079,1.70614145118624
200,50,50,5,0.203750623485957,1.77482100151404
200,50,50,8,0.118986935055562,1.82978998538551
200,50,70,3,0.289005019520406,1.70049822119664
200,50,70,5,0.2084227818569,1.75886472255972
200,50,70,8,0.179846435706401,1.7628638945413
300,5,20,3,0.171991862641826,1.73984281466603
300,5,20,5,0.205559942804567,1.70621487658561
300,5,20,8,0.192053965805717,1.75422539870678
300,5,30,3,0.196056141525911,1.71180184873742
300,5,30,5,0.205346865747377,1.7305908726085
300,5,30,8,0.198842796235172,1.71906524686663
300,5,50,3,0.199233059909431,1.73876074655357
300,5,50,5,0.203972979240973,1.72253654587363
300,5,50,8,0.208052750414098,1.70363718298783
300,5,70,3,0.199180414125253,1.73492976705613
300,5,70,5,0.186687973667913,1.74839110010417
300,5,70,8,0.204576063951822,1.72342982993468
300,10,20,3,0.186259766110116,1.7373434927388
300,10,20,5,0.209862361734088,1.7327880117753
300,10,20,8,0.200875174955324,1.71596484655148
300,10,30,3,0.198042814758049,1.7199332393568
300,10,30,5,0.231076336738559,1.69474367781603
300,10,30,8,0.192625530754695,1.7395030313521
300,10,50,3,0.190094988654974,1.72906272743104
300,10,50,5,0.213164141696239,1.71219248834536
300,10,50,8,0.186386204056424,1.75522012996321
300,10,70,3,0.220715896541731,1.71982134318677
300,10,70,5,0.212618433317764,1.71853155793307
300,10,70,8,0.193366590680602,1.72877619692223
300,15,20,3,0.21287802482955,1.72693841723168
300,15,20,5,0.206612804422512,1.73931880291119
300,15,20,8,0.197350896371936,1.73399775735277
300,15,30,3,0.214146272473348,1.71277060482844
300,15,30,5,0.192362483845338,1.74739381229652
300,15,30,8,0.220913131396102,1.71999756492409
300,15,50,3,0.202368240676726,1.7302580046516
300,15,50,5,0.194632017664588,1.71957341442302
300,15,50,8,0.214079750209316,1.70856639088556
300,15,70,3,0.248715030844482,1.69194206052435
300,15,70,5,0.211524841834567,1.72032054692956
300,15,70,8,0.237451897058761,1.70767303399093
300,25,20,3,0.237689032270146,1.71050587734593
300,25,20,5,0.226634238871769,1.72851950000623
300,25,20,8,0.23402664188969,1.73417851404946
300,25,30,3,0.258038500295175,1.67370061616479
300,25,30,5,0.219078473702809,1.7220357711961
300,25,30,8,0.196449977426977,1.75127906030154
300,25,50,3,0.243381900613741,1.71410561878932
300,25,50,5,0.242175110594265,1.70947107571085
300,25,50,8,0.179488424782111,1.75226254602567
300,25,70,3,0.222722431722363,1.71476517022248
300,25,70,5,0.20411602086146,1.72915671676394
300,25,70,8,0.210918056413588,1.72842249568541
300,50,20,3,0.234167059922569,1.72277978509725
300,50,20,5,0.20082825722027,1.73496244479259
300,50,20,8,0.186781491744265,1.77113213779233
300,50,30,3,0.243095061237514,1.70298759104442
300,50,30,5,0.205067344027292,1.74717567709271
300,50,30,8,0.208341728805304,1.77346477836518
300,50,50,3,0.241492129856079,1.71752278263137
300,50,50,5,0.231417527151237,1.73265669232356
300,50,50,8,0.216863128605882,1.76189100634221
300,50,70,3,0.255715092136805,1.72607802706625
300,50,70,5,0.229237740552221,1.7310573208922
300,50,70,8,0.226219915061241,1.76641943018679
500,5,20,3,0.194619380527815,1.71561955652129
500,5,20,5,0.203347056629317,1.71471361910937
500,5,20,8,0.208122849063362,1.7171502133338
500,5,30,3,0.199753830224135,1.71256412070475
500,5,30,5,0.217360163740021,1.71380011610772
500,5,30,8,0.198180519194357,1.71099146017789
500,5,50,3,0.186143210407948,1.7244301592945
500,5,50,5,0.18998152606614,1.72117559195374
500,5,50,8,0.200431395181117,1.71873113703469
500,5,70,3,0.192741557128384,1.71359439744109
500,5,70,5,0.21179833789735,1.70684357440281
500,5,70,8,0.200490959179172,1.72274841986413
500,10,20,3,0.203114135223249,1.71632430150018
500,10,20,5,0.245629957938045,1.69009439270917
500,10,20,8,0.209276079006975,1.72334520333331
500,10,30,3,0.218457338799829,1.69665520401692
500,10,30,5,0.227501840421861,1.71232919874367
500,10,30,8,0.193516981626031,1.73136877976679
500,10,50,3,0.207770737881111,1.72217713974741
500,10,50,5,0.224910785015324,1.70379405003078
500,10,50,8,0.221371191940926,1.69495440378063
500,10,70,3,0.186303251942247,1.72757632491086
500,10,70,5,0.196876152649999,1.70997113962314
500,10,70,8,0.196538505985745,1.74582613261821
500,15,20,3,0.200252013096106,1.73864527457934
500,15,20,5,0.187344939762568,1.72762370754819
500,15,20,8,0.175354766522673,1.74677784468667
500,15,30,3,0.216243610022599,1.71121673132129
500,15,30,5,0.203799060945906,1.71762509323818
500,15,30,8,0.214068760493905,1.73619426747364
500,15,50,3,0.222163234508843,1.69937674076823
500,15,50,5,0.200935874593959,1.72995599306533
500,15,50,8,0.221499970268283,1.71395777708878
500,15,70,3,0.24285830237075,1.6900765081039
500,15,70,5,0.192007159761438,1.73174400915928
500,15,70,8,0.216172149578209,1.74447790980263
500,25,20,3,0.236130141214187,1.7385317852148
500,25,20,5,0.222405102773353,1.73652181761663
500,25,20,8,0.216845552663405,1.72097105733716
500,25,30,3,0.240377797451593,1.7233653719778
500,25,30,5,0.249173801300471,1.70819081229187
500,25,30,8,0.199521712849832,1.75102727964951
500,25,50,3,0.223996401983841,1.7075582317201
500,25,50,5,0.231892075548654,1.69843005311855
500,25,50,8,0.252707751945697,1.7186026030412
500,25,70,3,0.245858342507139,1.68802107546555
500,25,70,5,0.227062057018018,1.73170510784337
500,25,70,8,0.210480003516071,1.74562720351846
500,50,20,3,0.279307647171818,1.69435655940938
500,50,20,5,0.209820643343357,1.7431204378365
500,50,20,8,0.210714596126916,1.75420415399921
500,50,30,3,0.253222905544672,1.70521722914025
500,50,30,5,0.184509422966637,1.7586438526645
500,50,30,8,0.157956493152131,1.79001936437099
500,50,50,3,0.252177178623571,1.71798261223496
500,50,50,5,0.220277640903698,1.7376145623298
500,50,50,8,0.184375759915693,1.77627365754424
500,50,70,3,0.238075271602462,1.7225652753432
500,50,70,5,0.194550814249904,1.76725778243079
500,50,70,8,0.215105181748388,1.7639140880507
