"Model","Training_R2","Testing_R2","RMSE","Improvement_over_QSAR","Overfitting_Gap"
"QSAR-only RF",0.073093827551012,0.718789473551575,0.528790112432199,0,-0.645695646000563
"RF Original",0.972517245428641,0.698622880276639,0.585407861793523,-0.0201665932749364,0.273894365152002
"RF Tuned",0.973839773163064,0.602377708390078,0.653296589946022,-0.116411765161497,0.371462064772986
"SVM Original",0.277143568350692,0.543103209787438,0.64781996647809,-0.175686263764137,-0.265959641436746
"SVM Tuned",0.629112047823752,0.622154694453479,0.587423387551619,-0.0966347790980958,0.00695735337027237
"ElasticNet Original",0.152025260236139,0.306691441173997,0.832248969627648,-0.412098032377578,-0.154666180937858
"ElasticNet Tuned",0.152295250386617,0.305742837513314,0.834026184488066,-0.413046636038261,-0.153447587126698
"Ensemble",0.813582489720943,0.606377926996699,0.631379074722332,-0.112411546554876,0.207204562724244
"RF Boruta-Selected",0.962441784916253,0.762469376934676,0.47008504140452,0.0436799033831008,0.199972407981577
